영단어,한국단어,설명
Zone (EEZ),배타적경제수역,"자국 연안으로부터 200해리까지의 모든 자원에 대해 독점적 권리를 행사할 수 있는 유엔 국제해양법상의 수역을 의미함. 구체적으로 연안국이 자국 해안으로부터 200해리 안에 있는 해양자원의 탐사, 개발 및 보존, 해양환경의 보존과 과학적 조사 활동 등 모든 주권적 권리를 인정하는 유엔 국제해양법상 해역을 칭함 UNCLOS 유엔해양법협약 UNCLOS (United Nations Convention on the Law of the Sea), 1982년 4월 해양에서의 기득권을 고수하려는 선진국과 인류 공동의 유산임을 주장하는 개도국 간의 논의 결과로 탄생. 협약이 발효된 것은 1994년 11월 16일이며,  영해·접속수역· 등 해양의 모든 영역과 해양환경·해양과학 조사·해양기술 이전·분쟁 해결 등이 이 협약의 적용을 받음 Port Reception Facility (PRF) 항만수용시설 해양오염 방지에 관한 IMO 국제협약 및 이에 따른 자국의 해양오염방지법 내 항만수용시설 관련 규정에 근거하여 선박 및 해양시설에서 발생하는 폐기물(기름, 유해 액체 물질, 폐기물) 등을 저장할 수 있는 항만시설을 지칭함 Polluter Pays"
Principle (PPP),오염자부담원칙,"환경을 오염한 자에게 그 비용을 부담시킨다는 원칙으로 3P 또는 PPP로 줄여서 부르기도 함. 그 배경은 1972년 경제협력개발기구 (OECD)에서 채택한 ""환경정책의 국제 경제적 측면에 관한 지도원칙""으로 권고된 오염자 지불 원칙에 따른 것으로, 환경오염 물질을 배출한 자가 오염으로 인해 발생하는 피해 비용 모두 지불하게 하는 것임 OSPAR Convention"
OSPAR,협약,"OSPAR Convention (The Convention for the Protection of the Marine Environment of the North-East Atlantic), 북동 대서양의 해양 환경보호를 위한 협약 또는 OSPAR 협약으로 불리며, 대서양 북동지역을 보호하기 위해 미, 영, 프, 독, 벨, 등 15개국이 참여한 정부 간 행정 협정임. 해양 폐기물, 방사능 및 위험물 투기 금지, 생물 다양성 보존 등에 관한 규칙을 제정 Barcelona"
Convention,바르셀로나 협약,"Barcelona Convention (Convention for the Protection of the Mediterranean Sea Against Pollution), 스페인 바르셀로나에서 1976년 2월 16일 작성, 1978년 2월 12일 발효됨. 명칭은 '지중해 오염에서 보호하기 위한 협약’이며, 해양환경의 효과적인 보전을 위해 선박ㆍ항공기에서의 폐기물 투기, 해저개발과 연안 개발에 의한 오염 등 대부분 오염원에 관한 조치 내용을 포함 Garbage Record"
Book (GRB),폐기물 기록부,선박에서의 해양환경 오염방지에 관한 규칙에 따라 관리되는 폐기물 기록부. 총톤수 400톤 이상의 선박 그리고 선박검사 증서상 최대 승선 인원이 15명 이상인 선박에서는 의무적으로 폐기물 기록부를 비치하도록 하고 있음
Loss of containers,컨테이너 유실,"해상에서 컨테이너 선박 운항 중에 발생하는 컨테이너 유실 사고를 의미하며, 선박의 복원성과 밀접하게 관련되며, 사고 후 회수가 매우 어려우며 해양 오염원으로 분류됨"
Micro-Plastics,미세플라스틱,"미세플라스틱은 의도적으로 제조되었거나 기존 제품이 조각나서 미세화된 크기 5mm 이하의 합성 고분자화합물로 정의됨(GESAMP, 2015). 미세플라스틱은 생성되는 기원에 따라 1차 미세플라스틱 (primary microplastic)과 2차 미세플라스틱 (secondary microplastic)으로 구분됨"
IMO Number,선박식별번호,"선박의 고유번호로, 선박 등록 신청 시 국제해사기구(IMO)에서 부여하고 있음. 사람에 비유했을 때 주민등록번호와 같다고 볼 수 있으며, 이것은 기관실과 선미에 표기하거나 탱커는 펌프 룸에 표시되어 쉽게 식별할 수 있도록 해야 함"
Grey water,중수,"중수(Grey water)는 선박의 거주 구에서 선원이 사용하는 샤워실, 세탁실을 통해 배출되는 폐수를 총칭"
Sewage water,오수,선박의 선원들이 사용하는 화장실의 변기로부터 배출되는 배출수를 의미하며 ‘오수’라 지칭함 Extended Producer
Responsibility (EPR),생산자책임재활용제도,"자원 절약과 재활용 촉진에 관한 법률 시행령에 따라 재활용이 가능한 폐기물의 일정량 이상을 재활용하도록 생산자에게 의무를 부여하는 제도 Drifting Fish Aggregation Devices (DFADs) 부유식 집어장치 어업 방법의 하나로 해양생물을 유인해 대량으로 포획하기 위해 띄워놓는 부유물을 지칭함. dFAD는 스티로폼 등의 물질로 만든 도구로, 어선들이 바다에 띄워놓으면 해양생물들이 이것을 피난처라고 생각해 모여들고 모여든 해양생물들 주위로 그물들 둘러 전체를 퍼 올리는 방식으로 주로 참치를 대량 포획하기 위해 사용됨. 최근 해양 플라스틱 쓰레기의 주범으로 지목되고 있음 Fiberglass Reinforced Plastic (FRP) 섬유 강화플라스틱 에폭시 수지나 폴리에스테르 수지 등에 유리 섬유나 탄소 섬유를 혼합한 복합 소재를 섬유 강화플라스틱이라고 함. 이 소재는 플라스틱이 갖는 장점 즉 가벼운 무게와 녹슬지 않고 가공이 쉬운 특징을 갖고 있으며, 이에 더하여 강도가 증가하여 쉽게 깨지지 않고 열을 가해도 변형되지 않은 특성이 있음 Great Pacific Garbage Patch (GPGP) 태평양 거대 플라스틱 섬 태평양에 있는 거대 플라스틱 쓰레기 섬으로 바람과 해류의 영향으로 북미와 중남미, 아시아에서 흘러온 쓰레기가 모여 있는 지역을 칭함. 비영리 연구단체 오션클린업파운데이션은 2018년 3월 28일 이 거대한 쓰레기 섬을 3년간 추적 연구해, 그 결과를 공식 발표했으며, 조사팀에 따르면 GPGP의 규모는 점점 커져 60만 제곱마일(약 155만㎢)에 달하는 것으로 추정됨. 대한민국 면적의 약 15배임"
The Ocean Cleanup,오션클린업,"2013년 설립, 네덜란드에 기반을 둔 비정부조직으로 해양 플라스틱 오염 확산 방지를 위해 다양한 기술을 적용하여 해양에서 플라스틱 쓰레기를 수거하는 사업을 하고 있음. CEO는 1994년 네덜란드 출신의 청년 Boyan Slat로서 2011년 해양 플라스틱 쓰레기의 심각성을 인식하는 것을 계기로 회사 설립 3R Reduce(감소), Reuse(재사용), Recycle(재활용) 폐기물의 감량화(Reduce), 재사용(Reuse), 재활용(Recycling)을 의미. 자원의 절약과 자연계의 자정 능력 범위에서 폐기물을 배출시켜 환경 영향 감소와 기술 발전을 이루도록 하는 목적이 있음. Marking of"
Fishing Gear,어구 마킹,"우리나라 정책으로 시행되는 ‘어구실명제’ 제도와 같은 의미로서, 어구(Fishing Gear) 표면에 어구와 사용자에 관한 정보를 새김(Marking)으로써 효율적인 관리를 도모하는 방법임. ESPH 화학물질의 위해성 및 오염성 평가 작업반 ESPH (Working Group on the Evaluation of the Safety and"
"Pollution Hazards of Chemicals), PPR",산하에 있는 화학물질의,"위해성 및 오염성 평가를 하는 작업반 EHS 위해성 평가 작업반 EHS (Working Group on the Evaluation of Hazards of Harmful Substances carried by Ships), 선박운송 유해물질의 위해성을 평가하는 작업반"
IBC Code,위험화학품 산적운송 선박의 구조 및 설비에 관한,"국제 코드 IBC Code (International Code for the Construction and Equipment of Ships Carrying Dangerous Chemicals in Bulk), IBC 코드는 대량의 화학물질 운송은 SOLAS VII 장과 MARPOL Annex II 규정을 따름. 두 협약 모두 1986년 7월 1일 이후 산적액체 위험화학물질을 운반하는 탱커선의 건조 및 장비에 대한 국제법을 준수하도록 건조해야 함"
BCH Code,위험화학품 산적운송 선박의 구조 및 설비를 위한,"코드 BCH Code (Code for the Construction and Equipment of Ships Carrying Dangerous Chemicals in Bulk), MARPOL Annex II의 11 규칙에 따라 1986년 7월 1일 이전에 건조된 케미컬 탱커는 IBC Code의 전신인 위험화학품 산적운송 선박의 구조 및 설비에 관한 국제 코드(BCH Code)의 요구 사항을 준수해야 함. BCH 코드는 1974년 SOLAS 협약에 따라 권고 사항으로 남아 있음 선원유기 재정보증"
Seafarers,선원,"선원이란 선박에서 근로를 제공하기 위하여 고용된 사람을 말하며, 일반적으로 선장ㆍ항해사ㆍ기관장ㆍ기관사ㆍ전자기관사ㆍ통신사 및 부원 등의 직무를 수행하는 사람을 지칭함. 우리나라 선원법은 구체적으로 선원을 선장과 해원(직원 및 부원)으로 구분하며, ""선장""이란 해원(海員)을 지휘ㆍ감독하며 선박의 운항 관리에 관하여 책임을 지는 선원을 말함. ""해원""이란 선박에서 근무하는 선장이 아닌 선원을 말함. ""직원""이란 「선박직원법」 제2조 제3호에 따른 항해사, 기관장, 기관사, 전자기관사, 통신장, 통신사, 운항장 및 운항사와 그 밖에 대통령령으로 정하는 해원을 말함. ""부원""(部員)이란 직원이 아닌 해원을 말함 Abandonment of seafarers 선원의 유기 다음의 경우에 선원의 유기가 발생한 것으로 보며, 이에 대해 국제협약 및 국내법에 따라 유기된 선원의 구제방안이 마련됨 ❶ 선박소유자가 선원을 송환하지 아니하거나 송환에 필요한 비용을 선원에게 지급하지 아니한 경우;  선박소유자가 임금을 2개월 이상 지급하지 아니하고 선원과의 연락을 두절하는 등 근로관계를 일방적으로 단절한 경우;  선박소유자가 관련법 또는 근로 계약에 따라 선원에게 제공해야 하는 식료품, 물, 생존을 위하여 필요한 연료 및 의료지원 등 선상생활에 필요한 재화나 서비스를 제공하지 아니한 경우 Repatriation of seafarers 선원의 송환 선박소유자는 선원이 거주지 또는 선원 근로 계약의 체결지가 아닌 항구에서 하선하는 경우에는 선박소유자의 비용과 책임으로 선원의 거주지 또는 선원 근로 계약의 체결지 중 선원이 원하는 곳까지 바로 송환하여야 함. 다만, 선원의 요청에 따라 송환에 필요한 비용을 선원에게 지급할 때는 그러하지 아니함. 송환을 위한 선박소유자가 부담할 비용은 송환 중의 교통비, 숙박비, 식비 및 기타비용을 말함. 그러나, 선박소유자는 선원이 정당한 사유 없이 임의로 하선한 경우, 선원이 하선 징계를 받고 하선한 경우 및 기타 단체협약, 취업규칙 또는 선원 근로 계약으로 정하는 사유에 해당하는 경우에는 송환에 든 비용을 선원에게 청구할 수 있음 IMO/ILO joint database"
IMO/ILO,공동 데이터베이스,"IMO 및 ILO가 선원 유기 문제를 모니터링하기 위해 선원 유기 사건 에 대한 공동 데이터베이스(DB)를 운영하게 됨. 이 데이터베이스는 세계선용품협회 (International Shipsuppliers & Services Association ; ISSA)의 지원을 받아 2005년 4월 1일에 DB가 구축 되어 운영되고 있으며, 2004년 1월 1일 이후 보고된 모든 사건사례 를 포함하고 있음 IMO/ILO 공동 데이터베이스에 따르면 2004년~2019년 기간 동안 총 415건의 유기사건이 있었으며 5,297명의 선원피해가 발생하였 음. 이 중에서 182건은 해결되었고(resolved), 88건은 분쟁 중이며 (disputed), 52건은 조치가 불필요함(inactive). 그러나 82건 (19.8%)은 여전히 미해결(unresolved) 상태임 2011년~2016년 기간 매년 12건에서 19건의 선원유기 사건이 발생 하였으나, 2017년은 55건, 2018년에는 44건, 2019년에는 40건이 발생하는 등 최근 크게 증가함. 아울러 선원유기 재정보증에 관한 2014년 해사노동협약(MLC) 개정안이 2017년 1월 18일 발효된 이 후인 2017년 1월 18일 ∼ 2019년 12월 13일 동안에는 총 137건 의 선원유기 사건이 IMO/ILO 공동 데이터베이스에 보고되었음 Maritime Labour Convention 2006 2006년 해사노동협약 2006년 해사노동협약(MLC)은 1920년부터 국제노동기구 (International Labour Organization; ILO)에서 채택한 선원 직업소개, 최저연령, 근로시간 등 39개 협약과 29개의 권고를 단일의 협약으로 통합하여 2006년 2월 채택되고, 2013년 8월 20일 발효된 국제협약임. 우리나라는 국내 선원법에 수용하여 이를 이행하고 있으며, 국제협약 및 선원법 내용에 따라 선원의 근로 및 생활기준과 관련되는 16가지 항목에 대한 인증검사제도를 시행 구분 내용 서문 배경, 목적 조항 일반의무, 기본 원칙, 주요 내용 제1장 선원을 위한 최저 근무요건 (Minimum Requirements for Seafarers to Work on a Ship) 제2장 근로조건(Conditions of Employment) 제3장 거주설비, 오락 시설, 식량 및 조달 (Accommodation, Recreational Facilities, Food and Catering) 제4장 건강 보호, 의료관리, 복지 및 사회보장 보호 (Health Protection, Medical Care, Welfare and Social Security Protection) 제5장 준수 및 집행 (Compliance and Enforcement) Declaration of Maritime Labour"
Compliance,해사노동적합선언서,"2006년 해사노동협약의 규정 제5.1.3조에서 규정하는 선언으로 책임 당국이 작성하는 제1부 및 선박소유자가 작성하는 제2부로 구성되며, 제1부는 해사노동적합증서를 발급하기 위해서 검사되어야 할 항목 및 관련 규정 등을 식별하여 표시하며, 제2부는 검사에 적합함을 보장하기 위하여 제안된 조치를 식별하고 있는 선언서임 ILO (International Labour"
Organization),국제노동기구,"국제노동기구(ILO)는 스위스 제네바에 본부를 두고 있으며, 노동문제를 다루는 국제연합의 전문기구임. ILO는 제1차 세계대전 후 베르사유 조약에 따라 국제연맹의 한 기관으로 1919년에 설립되었으며, 노동자들이 자유롭고 평등하며 안전하게 인간의 존엄성을 유지할 수 있는 노동을 보장하는 것을 목표로 하고 있음. 우리나라는 1991년 12월 ILO의 152번째 회원국으로 가입하였음. 2019년 ILO 100주년 총회 의제는 “더 밝은 미래를 위한 근로(Work for a Brighter Future)”이었음"
